name;address;phone;email
1-ая Автотранспортная ЮТС;Доватора 11 оф.4;79381144827;2364765@mail.ru
100 ton -ТIМ ЕНД IТ;Киев 03179, Чернобыльская, 22;380442280370;oversize@timandit.com
100 АВТО;г.Екатеринбург, пер. Проходной, 1, офис 17;73433176872;tk-100avto@yandex.ru
100 дорог;Город Ногинск улица Новоногинская д 15 офис 14;74996382299;tk1000dorog@gmail.com
1000 Дорог;Московская область, Ногинск, ул. Ново-Ногинская, д.15, оф.14;+7(495)517 12 69;tk1000dorog@gmail.com
DayTrans;Москва, ул. Речная, д.5, офис 16;792539930971;daytrans@yandex.ru
Delko;-;;mail@del-ko.ru
Ds construction;metalo 2, Vilnius/ Lithuania;370669296805;Viktorija.m@dscon.lt
7 Континент;427974,Удмуртия, г.Сарапул, р-н., территория МО ``Шевыряловское`` Массив ``РахСат``, участок №2;79512116353;9123403@bk.ru
East Lines;м. Савеловская, ул. Складочная, д. 1, стр. 18 ;;info@eastlines.ru
Ektotrans;Калининград;790005686195;ektotrans@mail.ru
Eurasian Express Logistics;г. Алматы, ул. Тимирязева, 18А;77273309001;Info@eurasianexpress.kz
Expert-Logistics;123557, г. Москва, пер. Б. Тишинский, дом 43;79161234888;info@expert-logistics.ru
А-Сервис;Новосибирск, Фрунзе, 242, 514 офис, 5 этаж, ДЦ Новая высота;73832048804;info@as-sib.com
А-Сервис, транспортно-логистическая компания;г. Новосибирск, 630112, ул.Фрунзе, д. 242, офис 514;73833198804;info@as-sib.com
Абарис;Юрия Гагарина 50;74012507511;abaris39@yandex.ru
Абарис-транспортная служба в Барнауле.;Юрина 257;+7-903-947-75-33;abaris22@yandex.ru
АбслютАвто;г.Оренбург ул.Томилинская 237;7961796192944;294441@bk.ru
АБХ Терминал;Uriekstes 4. Lv 1005;79163652041;vitaly.mishkov@abx.lv
Авананта;дзержинский, академика жукова 7а;74959336959;msk@avananta.ru
Авант Логистик;Оптиков 4;78123350060;admin@avant-logistic.ru
Авиастар Петербург;Санкт-Петербург, Московское ш.25;+78127770658;cargo@aviastar-spb.ru
Авиор Логистикс ;Украина, г. Киев, ул. Красноткацкая, 27А;380674047345;contact@aviorlogistics.com
Авис-Логистик;ул. Сокольнический вал, дом 1д, строение 1;+7-916-995-25-25;avis4@bk.ru
Аврора;117405, г. Москва, ул. Кирпичные Выемки, д. 2, корп.1;74951070607;info@tk-aurora.ru
АВС-Автотранс;620039, г. Екатеринбург, ул. Лукиных, д. 5, оф. 401;73433366758;avtotrans@avsgroup.ru
АВТ-Транслогистик;Шоссе Энтузиастов, д. 5;74959724869;4ernomor777@mail.ru
АвтоБизнесТранспорт;Санкт-Петербург, ул. Чапыгина, д. 6;79500408289;info.abtrans@gmail.com
Автогейт;Санкт-Петербург, пр.Народного Ополчения д.10;78124588695;auto-gate@inbox.ru
АвтоЛайм;630009, г. Новосибирск, ул. Никитина, д. 20, офис 309;73832141250;info@autolime.org
АвтоЛогистСибирь;г.Новосибирск;79139344434;alina@avtologsib.ru
Автолюкс;03062, г. Киев,  ул. Чистяковская, 30;+38 044 536 00 55, +38 044 536 00 53;info@autolux.ua
Автопрофи;ул. Есенина, д.5, оф.6;74912992502;avtoprofi200@yandex.ru
Автослон;г. Москва, ул.Промышленная, д. 11, стр.8, оф. 25;74952317361;avto-slon@bk.ru
АвтоСпецТранс;г. Санкт-Петербург, ул. Зайцева, д. 41;78126768683;info@avtospec-trans.ru
"Автотранспортная компания ""АВС-Автотранс""";620039, г. Екатеринбург, ул. Лукиных, д. 5, оф. 401;73433366758;avtotrans@avsgroup.ru
АвтоТрансСервис;г. Астрахань;89275822273;svetlay13@mail.ru
Агентство Грузовых Перевозок;620010, г.Екатеринбург, ул.Грибоедова, 32/20, оф. 909А;73432222266;perevozki_ekb@mail.ru
Агентство перевозок;Фабричная 55;83832143149;agts@rambler.ru
АДФ;ул. Профсоюзная, д.57;79263831866;adflogist@yandex.ru
АЗИЯ ЛОГИСТИКС;"17 км. МКАД,г. Дзержинский , Денисьевский проезд дом 15, территория ""ИнтерСкладСервис"", склад №2";74996579889;sales.mow@asialgs.com
АКВАМАРИН ТРАНС;198095 г. Санкт-Петербург, ул. Маршала Говорова  49, литер А, офис  514;78126771125;sales@aquamarine-trans.com
Аквилон;141315, г. Москва, ул.Люблинская, 126;74954112540;a-autorent@ya.ru
Аккуратный переезд;Санкт-Петербург, Гражданский пр-т, д.18, лит.А, пом.5Н;(812) 927-39-16  (812) 921-22-61;akkuratpereezd@yandex.ru
Аликон Карго;420036, г. Казань, ул. Леваневского д. 2А, оф.306;78432039569;alikonkargo@mail.ru
Алсена;;;info@alsena.ru
Алсена Л;Москва, Гостиничная д,5;74952210122;info@alsena.ru
Альбатрос Транспорт;Москва, ул. Б. Серпуховская, 44;+74957241890;info@albatros-transport.com
Альтернатива ТК;Балашиха, Советская 27;74997097364;info@tk-a.ru
Альфа КредоТранс;Волгоградский проспект д 46Б к.1 оф 218;74992716670;lkm@actrans.ru
Альфа Транс;ул. Нижняя Сыромятническая, д. 5/7, стр. 4, оф. 112;+7(495) 649-32-81, 649-32-80;office@oao-alfatrans.ru
Альфа-регион;Владивосток, Фокина 29;79020751360;alpharegion@mail.ru
Альфа-Транс;ул.Труда,84, офис 404;79085706690;razitdinovaef@alfatrans-gr.ru
Альянс ТК;г. Москва, ул. Каланчевская, д. 15А, офис 31.;"(495) 777-23-82; 777-23-71";info@atk-tk.ru
Альянс-ЭКО;г.Кемерово ул. Базовая 1А;73842671679;alyans.eko@mail.ru
АльянсТрансКарго;Омск, Барабинская 18;73812386029;a_logistics@bk.ru
АмурАльбатрос;г.БЛАГОВЕЩЕНСК АМУРСКАЯ ОБЛАСТЬ;79248416277;amuralbatros@yandex.ru
Анвей ;Казань, ул. Повстанческая, 5;78432512714;mail@anvay.ru
Антарес;344002 г. Ростов-на-Дону, ул. Темерницкая 41б, офис 38;78632203749;antarestc@yandex.ru
АП Восток;620010, Российская Федерация, г.Екатеринбург, ул. Грибоедова, 32/20, офис 813;73432222266;atekb@mail.ru
Аран Карго Сервис;Москва, ул.Солнечная, д.6;74952589215;cargo@arancom.ru
Арден;г. Казань, ул. Родины, д. 24, оф. 4;+7(906) 110-63-03;89872337734@mail.ru
Ардис-Форвардинг ООО;Владивосток, ул. Стрельникова, 3б;84232497027;forward@ardis-co.ru
Арелайн;г. Ярославль, ул. Богдановича, 6а, офис 416;+79806599878;areline@inbox.ru
Аривер;г. Красноярск, ул. Шахтеров 33К, стр 5;73912412261;office@ariver.su
Аривист;Краснодарский край, г. Новороссийск, ул. Леднёва 6;79528143375;Povetkina.Yana@arivist.com
АртЛайнЛогистика;420133, Республика Татарстан, ул. Гаврилова, д. 1, оф. 307 ;+7(843) 523-17-17;artlinelogistica@yandex.ru
АРТМАРИН ГРУПП;191144 Санкт-Петербург, ул. Моисеенко д.8 помещение 1-Н;78127102536;info@a-rt-marine.com
АСД-экспресс;ул.Бабушкина, д.21;78123368736;nw@acdexpress.ru
АСП-Транс;г.Саратов, ул. Братская 43, офис 12а;8 443 56737654;asp-trans@zvi.ru
Астория-НН;Ореховская 80 кор 2;78314154856;astoriy-nn@yandex.ru
АТ-Логистик Калининград;Московский проспект, д. 187, 2 этаж, офис 7.;+7(4012) 34-26-34;at-logistik39@rambler.ru
АТК;Москва,3-й Красносельский пер. д.21,стр.1;84956401996;info@atk-tk.ru
АТК Антариус;420127, г.Казань, ул.Дементьева 2 Б;78007000831;maxdy@bk.ru
Атлант-НТ;Свердловская область, г. Нижний Тагил;79001987826;1@atlant-nt.ru
АтлантрансАльянс;Москва, улица Бутлерова, д. 17;74957900840;office@tk-ata.ru
АТЛК;230030, Беларусь, г. Гродно, ул. Весенняя, 19А, пом. 15;375152480108;atlk.grodno@gmail.com
Аэросиб;Карамышевская наб.44;(495) 2341616 ;cargo@aerosib.ru
АэроТрансКарго;105064, г. Москва ул. Садовая-Черногрязская, д. 13/3, стр. 1;74957874357;info@airtranscargo.ru
Farcont;ул.Приморская, дом 16, офис 310;30487342620;info@farcont-project.com.ua
FishTrans Logistics;Республика Казахстан,,  050000г. Алматы, ул. Полежаева, 92А, офис 411;77073807867;tima.anarkulov@list.ru
Flash Asia;г. Москва, ул. Дорожная, д. 60;+7(495) 797-55-14;company@flashasia.com
Б.С.-ТРАНС Логистик;Электролитный проезд, дом 7а, 3-й этаж;+7(495) 589-39-22 (многоканальный);
Баев А.Н.;Коломна 1-й Юбилейный проезд;79265350878;saneck2008@yandex.ru
БАЛСТИЙСКАЯ СЛУЖБА ДОСТАВКИ;г. Краснодар;78612103414;sdost-kr@mail.ru
Балтийский Транспортный Альянс;192236, г.Санкт-Петербург, ул.Софийская, д.14, к.4Б, офис 228;78127088210;transport@btaspb.ru
Баренц Регион;г.Мурманск, ул.Промышленная 19, оф.201;+78152703733;info@barents-region.com
БЕЛИНТЕРТРАНС;220039, ул. Брест-Литовская, д.13 ;+10 (375 17) 225-12-19, 225-12-00, 225-73-95;irina_v@belint.by
БЕТТА;г.Пермь, ул.Янаульская, д.38. офис.1;73422030117;info.betta@mail.ru
Биг Авто;г.Москва;79261023927;osukhanov@yandex.ru
Билмарк;г. Омск, ул. Волгоградская, д. 34/3;79136321980;info@bilmarkgroup.com
Большие Машины;г. Москва, ул. Кировоградская д.9 корп 1.;+7(495) 228-04-24;info@bigmash.ru
БРЕМАС;г. Санкт-Петербург, ул. Маршала Говорова 35. к.4;78123831361;
GBS logistics;МО, Наро-Фоминский р-он, п. Селятино, ул. Промышленная д.81;74954112774;gbslogistics@hotmail.com
GEFCO;142784, Россия, Москва, поселение Московский, д. Румянцево, стр. 1;;-
General Trail;Зарайская ул., д.23;7 499) 399-32-07;info@gtrail.ru
GlobalLogistic;Коттеджная 1/1;8-960-999-16-66;m1@g-logistic.ru
Good Logistics;Спб, Розенштейна 21;78124565675;info@goodlogistics.ru
GPA Logistika;Миндауго 6, Вильнюс, Литва.;37052420747;info@gpalogistika.lt
GRÜNBERG;125371, г. Москва, Волоколамское шоссе, д. 73;74956494892;info@perevozka-negabarita.com
Вавилон Групп;Владивосток ул. Дальзаводская 2 стр. 9 оф. 218;74232208704;rosslogist@gmail.com
Валлениус Вилхелмсен Лоджистикc;Россия, г. Санкт-Петербург, ул.10-я Красноармейская, д.22, БЦ «Келлерман Центр», 1 эт.;+7-812-458-57-87;Ekaterina.Troshko@2wglobal.ru
Ван Карго Транс;105173 Москва 105 км МКАД  (Балашиха мкр Щитниково);;add1553@yandex.ru
ВАНСПЕД;г. Санкт-Петербург, Московское шоссе, 25, к.1, лит. А, БЦ Престиж, офис 400;(812) 602-04-20;info.spb@vansped.de
Варкада;г. Москва, ул. Полярная 31;84953639026;resp@varkada.ru
Ваша логистика;Г. Москва, Перовское шоссе, д.25;74959847303;info@sztkom.com
ВДНК;ул.Красноармейская 11 офис 27;74954119699;info@vdnk.ru
ВЕ Сервис;127018 Москва, ул. Сущевский вал, д. 5, стр. 2;74952121244;info@veservice.ru
ВЕЗИ;ул. Софийская 101 А;78124381242;info@wezi.ru
Везунчик;г. Санкт-Петербург, Лиговский пр-т, д. 50, корп. 14;+7(812) 336-87-07;piter@vezunchik.com
Вектор Логистик;Россия, г. Москва, проспект 60-летия Октября д. 9 оф. 11А;74952150609;veklru@mail.ru
Вента;Большой Сампсониевский пр., 30, к.2;7(812) 335-58-88;info@ventagroup.ru
Вериком;Россия, Москва, 2-й Магистральный тупик, 5а;74993980836;vericom@inbox.ru
Верона Транс;107113, Маленковская, д. 12-47;+7(495) 997-60-48;9976048@inbox.ru
ВИКСТЕЛ;Москва, 1-ый Дорожный проезд д.6;74955856872;info@vicstel.ru
ВиргоТК;ул. Ново-Садовая 164 а, офис 44;78469918185;info@virgotk.ru
ВиталТранс;г. Москва, ул. Промышленная, д. 11;74999633113;inform@vitaltrans.ru
Витта-Транс;117036 г.Москва, ул.Гримау, д.10 ;+7(495) 225-57-50, 645-66-59 ;vt@vittat.com
ВлаРус;г.Казань, ул.Чистопольская 77/2 оф 3;88435276942;info@evial-kazan.ru
ВнешТрансАвто;117403, г.Москва, ул. Никопольская, д.6, стр.7;74995193000;info@vta-m.ru
Возовоз;196240, Санкт-Петербург, улица Кубинская, дом 80, литер Б, офис 406;8 800 707 2002;sale@vozovoz.ru
Волга;г. Саратов, проспект Строителей, д. 1;78452573983;tk.volga@mail.ru
Волга Лоджистикс;410004 г. Саратов, ул. Набережная 22;78452392999;info@volga-logistics.ru
Восток.Транспорт;101000 г. Москва, ул. Мясницкая дом 12, корп.1;74993912389;info@vostok-trans.com
Восточный Импорт;ул. Суханова,3а-508;79146520369;info@eastern-import.ru
Восточный Экспресс;г. Владивосток ул. Выселковая 57;79247302019;V-express25@mail.ru
Все дороги;г. Уссурийск, ул. Агеева 28а;79147112422;vsedorogi25@mail.ru
ВэдТрансСервис;;(423) 230-10-90 (многоканальный);info@vedtransservis.com
Вэй карго сервис;Москва  ул. Библиотечная 115;+7-495-645-70-40;info@waycargo.ru
ВЭЙ-Групп Логистика;;(8 800) 100-6739;sales@wayg-log.ru
Вяттранспорт-Логистик;610035 г. Киров, ул. Производственная, 35, оф. 315;88001000045;info@freelogistic.ru
ICTA;ул. Маркалнес 11/2, Рига,  LV - 1024, Латвия;37167817197;icta@icta.lv
ITMLogistics;Ke Koulce 646/2, Praha 5, 150 00, Czech Republic;420273130600;anna.novozhenina@itmlogistics.cz
Газель Плюс;169900 РК г.Воркута, ул. Ленинградская 41-а;78215162277;info@gazel-plus.com
Газель-БИЗ;Москва, ул.Ленинская слобода, дом 19;74952460196;ipkuk@mail.ru
ГАЛС;г.Пенза, ул.Пушкина д.15;78412260473;info@galstrans.ru
ГеоЛог;Московская область, аэропорт Шереметьево, Грузовой терминал;74957782788;mi.cross@yandex.ru
ГК СибирьТранс;ОФИС: Москва, Дмитровское шоссе, дом. 100 стр. 2,;8-499-258-40-40;sborka@sibirtrans.com
ГК Система;г.Ставрополь, проспект Кулакова, 12 И;78005004252;admin@systema5.ru
Глобал Вэд;Московская область, г. Красногорск, ул. Губайлово, д. 56;79652848811;info@pallant-yar.ru
Гранд Сервис;Верхнепортовая 76 г;79140691266;grand.siervis@mail.ru
Грема Транс;141014 г. Мытищи, ул. Веры Волошиной, 19/16;74952218669;zakaz@grematrans.ru
Груз №1;город Королёв, улица Горького, дом 45, офис 150;;ats_79@inbox.ru
Груз-Извоз;Санкт-Петербург, Пулковское ш, д 30, корус 4;78124484042;olhovski@tkizvoz.ru
ГрузАвтоТакси;Ильменский проезд 1а;+7-495-411-93-57;gruss110@yandex.ru
ГрузКонтейнер;ул. Дубининская д. 63, стр. 4;+7(495) 235-06-28, 774-64-21, (926) 313-38-86;bvm@gdkont.ru
Грузконтроль;г.Санкт-Петербург, ул.Торжковская, д. 5;79626906690;gruzkontrol@inbox.ru
ГРУЗОВОЗ;628162 ХМАО - Югра Тюменская область г. Белоярский ул. Молодости 2А;73467022623;vestabel@mail.ru
Грузоперевозки Балашиха;г. Балашиха, ул. Свердлова, д 43;79261907203;balashiha50@gmail.com
Грузоперевозки г. Железнодорожный;г. Железнодорожный;79261907203;fenixjob1@gmail.com
Грузоперевозки ДВ;Благовещенск, ул. Пионерская 206 оф. 303;7962285 26-06;89098107441@mail.ru
Грузоперевозки-коломна.рф;МО г.Коломна наб.Дм.Донского 39;79161118739;ya.gruzoperewozki@ya.ru
Группа Доставки;420061 Казань, П. Лумумбы 47а, оф. 20;79093093636;116@front.ru
"Группа компаний ""Санна""";Москва, 109004, Б. Дровяной пер., д. 11/8, стр. 1;74956624434;sale@sanna-group.ru
Группа компаний SAMCOM;г. Самара, ул. Дачная, 24;88005558386;mail@samcom.su
Группа Сиа Транс;Полярная 31Г стр.1;74997071521;info@seatranss.com
Дабл Лайн;Санкт-Петербург, Свердловская наб. д.44 лит.Ю;+78123193017;i.vaganov@doubleline.su
Дальневосточная транспортная компания;г. Владивосток, ул. Фадеева, 2;74232954158;sea_Line@list.ru
ДАС ГЛОБАЛ ЛОДЖИСТИК;Московская область, г. Химки, ул. Репина, д.34;74957950495;anna.abramova@dasglobal.ru
ДВ Экспресс;г. Хабаровск, ул. Краснореченская 106А, оф. 21;74212415540;dvexpress27@yandex.ru
ДВ-Авиа Сервис;Россия, г.Москва, Аэропорт Домодедово;74956428850;dvavia82@mail.ru
Деливери;ул. Сергеева-Ценского, 21;30652600222;urc-1@delivery-auto.com
ДеникС;город Иваново, Лежневское шоссе, строение 1;74932584343;info@deniks.su
Дженерал Транс;Санкт-Петербург,ул Маршала Тухачевского 27 корп2;78124495630;malanchuk.a@generaltrans.ru
Дженерал Экспресс Пост;Мира Проспект, д.56, стр.1;+7(495) 626-45-20;info@general-express.ru
ДЖи Пи Транс;МО, Климовск, Ленина, 1 офис, 306;74957744344;msk7744344@gmail.com
ДЖИ-АР Групп;450022, Российская Федерация, Республика Башкортостан,г.Уфа, ул. Кавказская 81, оф. 307;73472465667;info@gr-groups.ru
Джис Авто;Соколиной горы, 3я ул, д 12;74993463796;info@gis-avto.ru
ДжоДа;Санкт-Петербург, ул. Планерная 63 к.1 оф. 154;+78123805875;info@dzhoda.ru
Дилижанс Логистик;г.Москва, Пятницкое шоссе, 16;74999522971;dilijanslogistic@gmail.com
Доставка 161;г. Ростов-на-Дону;+79897029365;dostavka161@gmail.com
ДС Систем;Москва, ул.Никулинская 27;74996537002;ds-system@yandex.ru
Log World;Санкт-Петербург, ул. Думская, дом 4;78129826176;logworld@mail.ru
LogistiX;Москва, Ракетный бульвар, д. 16;74952254441;info@logx.ru
LOGISTONLINE;пр-т 100 лет Владивостоку 103;74232660577;vl@logist.tel
LTD S.C.H Logistics;г. Москва, ул.Шоссе Энтузиастов д.2;74993941507;andshleg@yandex.ru
ЕВРАЗИЯ Лоджистик;Москва, Проспект Мира, д. 105, стр. 1, офис 514;7 (495) 989-62-32;info@eurasia-logistic.com
ЕвроАзия-ВЭД;ул.Янаульская 38, офисное помещение 1;73422030117;perm@evroaziya.ru
ЕвроКурс;г.Дзержинск,проспект Чкалова д.47а;79200511800;EvroKurs@yandex.ru
ЕВРОЛАЙН;Москва,ул.Фадеева д.6, стр.2;+79859976264;ngmatov@yandex.ru
ЕВРОСИБ;140000, Московская область, г. Люберцы, ул. Красная д.1;74957448524;info@evrosib-logistics.ru
Евростар-Сервисная Компания;107023  г. Москва, Малая Семеновская, дом 3, строение 1, офис 206;74959213684;servis_s@gruz.su
Единая Логистическая Система (ЕЛС);г.Москва, Сигнальный проезд 33а;79628355100;oooels@bk.ru
Major;;+7(495) 737-60-06, 739-33-76;info@mjr.ru
Meno Logistics Turkmen  ES;744036, Туркменистан, Ашгабат, ул.2127, дом 84;99312218806;contact@menotrk.com
Mercury Logistics;84 Harbor Drive, Jersey City, NJ 07305;12014997645;info@mercurylog.com
Miles Logistic;г. Владивосток, ул. Стрельникова 7 оф. 501;78005556138;main@miles-logistic.ru
Moving.by;ул. Илимская, 10-190;+10(375) 29-349-53-12;info@moving.by
Niagara-Logistic;Московская область, г. Реутов, ул. Ашхабадская 16/1, 2 этаж;74959792657;9792657@gmail.com
NSS Project LTD;Сатаматие 4;358451284064;info@nssproject.org
Заблогистик;г. Чита, ул. Набережная 79 оф 3;73022555252;555252ru@gmail.com
ЗАО «Волга Лоджистикс»;410004 г. Саратов, ул. Набережная 22;78452392999;info@volga-logistics.ru
OMSAN LOJISTIK;109316, Москва, Волгоградский проспект, 47;74957816433;anastasia.lukina@omsan.ru
OPENCHINA;Пресненская набережная;78007753236;info@openchina.tv
Ostalbtrans GmbH;236000, г. Калининград, Советский пр-т, 49;(4012) 430-50-85;ostalbtrans@mail.ru
oteco;Москва, 115093, 1-й Щипковский пер., 3;+74952152306;logist@oteco.ru
Overland Logistics;г.Алматы, Байтурсынова 68;77272927773;logist1@overland.kz
Ив-Транском;г. Балашиха, микрорайон Салтыковка,Носовихинское ш, владение 253, офис 106, 108;+7(495) 514-68-92;info@ivtranscom.ru
Импортэкс;Россия, г. Владивосток, Партизанский пр-т 58 в, 3 этаж;74232607406;importexmail@gmail.com
ИНБС Интегрированные бизнес решения;125315, г. Москва, ул. Часовая, д.24, стр.2;74957907004;info@inbs.ru
Интеграл;Москва,Угрешская ул.,д12стр1;74952873324;info@integraldos.ru
Инфор;Самарская обл., г.Тольятти, Южное шоссе, д.30, офис 1А;+78482996020;tlt@infor.pro
PanEx;117152, г. Москва, Загородное ш., д. 1к1.;74956176611;info@panex.ru
Polar Express;165 Amboy Road, Unit 200, Morganville, NJ 07751;17329706785;info@polexp.com
PONY EXPRESS;;+7(495) 937-77-77, 8-800-200-76-69 ;feedback@ponyexpress.ru
Proft Logistic;2-я Звенигородская ул., д.13;+7(495) 969-41-48, (910) 456-82-78;office@proft.ru
К-Ф-К;Москва, ул. Мясницкая, д. 17 стр.1 оф. 8;74956237000;kfkcargo@yahoo.com
Камчатская Экспедиторская служба;Ак. Королёва, д. 39/2;79622177677;info@kamex-pk.ru
Канго Логистикс;Санкт-Петербург, Выборгская наб. 61, оф. 225;78124161111;mail@kango.ru
Караван;Волгоград, ул. Таращанцев, д.17;78442600630;van-karavan@yandex.ru
Караван Карго;Хабаровск улю Тихоокеанская 73-30;84212767031;sale@caravankhv.ru
Карго 21 Век;г.Москва, ул. Селезневская, д.15, стр.7;74997034855;info@cargo21vek.ru
КАРГО ИНТЕРМОДАЛ;Москва 2-й Южнопортовый проезд д.10 стр. 12;+74952233236;dir@cargo-intermodal.com
Карго Лайн;г. Хабаровск, ул. Краснореченская 139, оф.9;+79244040128;Cargo_line@mail.ru
Карго Логистика - CAR-GO;127238,г.Москва, Ильменский проезд, д.1;74957390715;mail@c-go.ru
Карго Траст;600035, г. Владимир, Кубышева, 16;74922474647;nikolaev@crtrust.ru
Карго Центр;г.Пермь, ул.Героев Хасана 105 корпус;73422387686;perm@c-go.ru
Карго-Лидер;Благовещенск, ул. Тенистая, д. 127, офис 506;(4162) 34-08-80, 31-02-08;cargolider@yandex.ru
КаргоЛогистик;Москва Новгородская 25;74956460494;cargologc@mail.ru
КаргоСервис;Москва ул.Электрозаводская 52;+74955186889;info@rus-cargoservice.com
КитЛогистик;432072, Ульяновская область, г. Ульяновск, Инженерный 1-й проезд, д. 17, офис 314;(812) 426-15-53;info@kitlogistic.ru
Китон Групп;Москва, Открытое шоссе 12 стр 3;74953800105;info@kiton-group.com
Колесница;Москва;79255046469;vip-garant@yandex.ru
Колосс Альянс;ул.Трубная, д. 29, стр.5;7 (499) 778-30-38;gpsatlas@yandex.ru
Компания  Лобанов-Логист – консалтинговая  логистическая  компания;107207, Москва, ул. Алтайская, д.4;+79165972912;Lobanov1963@mail.ru
Коннект-Логистика;г. Москва, ул. Электродная, д. 9Б;74959872213;anton@tk-l.ru
Контейнерная Транспортная Компания;195197, Санкт-Петербург, Полюстровский пр., 43A;+7(812) 635-70-59;info@trucking.su
Контранс;143131, Московская область, Рузский район, п. Тучково, ул.Восточная, д.1, стр.5, участок №5.;74956096638;support@contrans.info
КоронаТранс;4-й пр. Подбельского, д.2, корпус 1;+7(499) 409-85-79;info@coronat.ru
Краснодар-Экспресс;г. Краснодар ул. Ростовское шоссе, 14;7918239-01-11;kexpress@yandex.ru
КРАСТРАНС;660062, г. Красноярск, ул. Вильского 18а-107;73912881969;office@krastrans.net
КС-Логистик;г. Москва, ул. Малый Сухаревский д.9 стр.1;74959615295;ks@ks-logistic.net
Куда ставить;"г. Чебоксары, 9-ой Пятилетки пр-кт, 18/2, оф. 1 ""Е""";78352292959;292959@mail.ru
Курьер Бизнес Экспресс ;344082, г. Ростов-на-Дону, ул. Тургеневская, д. 22, оф. 2;79289660601;pr_anna@kubex.ru
Курьер Сервис Экспресс;115088, Москва г, Угрешская ул, д. 2, корп. 55;74957487748;info@cse.ru
RDS Worldwide cargo;Dubai;97145594546;info@rdscargo.ae
